Disease,Medication,Adult_Medication,Pediatric_Medication,Diabetes_Medication,Hypertension_Medication,Heart_Medication,Kidney_Medication
(vertigo) Paroymsal Positional Vertigo,"['Epley Maneuver (physical therapy)', 'Meclizine 25-50mg', 'Dimenhydrinate 50mg', 'Betahistine 16mg', 'Anti-nausea medications (Ondansetron 4mg)']","['Epley Maneuver', 'Meclizine 25-50mg', 'Dimenhydrinate 50mg', 'Betahistine 16mg', 'Ondansetron 4mg']","['Epley Maneuver', 'Meclizine (dose adjusted)', 'Dimenhydrinate (dose adjusted)', 'Betahistine (dose adjusted)']","['Epley Maneuver', 'Meclizine 25-50mg', 'Betahistine 16mg']","['Epley Maneuver', 'Meclizine 25-50mg', 'Betahistine 16mg']","['Epley Maneuver', 'Meclizine 25-50mg', 'Betahistine 16mg']","['Dose adjusted medications', 'Avoid nephrotoxic drugs']"
Acne,"['Benzoyl Peroxide 5%', 'Topical Retinoids (Tretinoin 0.025-0.1%)', 'Clindamycin 1% gel', 'Oral Doxycycline 100mg', 'Salicylic Acid 2%']","['Benzoyl Peroxide 5%', 'Topical Retinoids', 'Clindamycin 1% gel', 'Oral Doxycycline 100mg', 'Salicylic Acid 2%']","['Benzoyl Peroxide 5%', 'Topical Retinoids (lower concentration)', 'Clindamycin 1% gel']","['Benzoyl Peroxide 5%', 'Topical Retinoids', 'Clindamycin 1% gel']","['Benzoyl Peroxide 5%', 'Topical Retinoids', 'Clindamycin 1% gel']","['Benzoyl Peroxide 5%', 'Topical Retinoids', 'Clindamycin 1% gel']","['Avoid oral tetracyclines in severe kidney disease', 'Topical treatments preferred']"
Urinary tract infection,"['Nitrofurantoin 100mg', 'Cefixime 200mg', 'Fosfomycin 3g single dose', 'Paracetamol 500mg', 'Hydration and cranberry supplements']","['Nitrofurantoin 100mg', 'Cefixime 200mg', 'Fosfomycin 3g single dose', 'Paracetamol 500mg', 'Hydration']","['Nitrofurantoin (dose adjusted)', 'Cefixime (dose adjusted)', 'Paracetamol (weight adjusted)', 'Hydration']","['Nitrofurantoin 100mg', 'Cefixime 200mg', 'Fosfomycin 3g single dose']","['Nitrofurantoin 100mg', 'Cefixime 200mg', 'Fosfomycin 3g single dose']","['Nitrofurantoin 100mg', 'Cefixime 200mg', 'Fosfomycin 3g single dose']","['Avoid Nitrofurantoin in severe CKD', 'Dose adjustment for Cefixime', 'Hydration']"
Psoriasis,"['Topical corticosteroids (e.g., Clobetasol 0.05%)', 'Calcipotriol ointment', 'Methotrexate 7.5-25mg weekly', 'Phototherapy', 'Emollients']","['Topical corticosteroids', 'Calcipotriol ointment', 'Methotrexate 7.5-25mg weekly', 'Phototherapy', 'Emollients']","['Topical corticosteroids (mild potency)', 'Calcipotriol ointment', 'Methotrexate (dose adjusted)', 'Emollients']","['Topical corticosteroids', 'Methotrexate 7.5-25mg weekly']","['Topical corticosteroids', 'Methotrexate 7.5-25mg weekly']","['Topical corticosteroids', 'Methotrexate 7.5-25mg weekly']","['Dose adjustment for Methotrexate', 'Avoid nephrotoxic drugs']"
Impetigo,"['Mupirocin 2% ointment', 'Fusidic acid cream', 'Oral Cephalexin 250-500mg', 'Paracetamol 500mg', 'Proper hygiene and wound care']","['Mupirocin 2% ointment', 'Fusidic acid cream', 'Oral Cephalexin 250-500mg', 'Paracetamol 500mg', 'Proper hygiene and wound care']","['Mupirocin 2% ointment', 'Fusidic acid cream', 'Oral Cephalexin (dose adjusted)', 'Paracetamol (weight adjusted)']","['Mupirocin 2% ointment', 'Oral Cephalexin 250-500mg']","['Mupirocin 2% ointment', 'Oral Cephalexin 250-500mg']","['Mupirocin 2% ointment', 'Oral Cephalexin 250-500mg']","['Dose adjusted Cephalexin', 'Avoid nephrotoxic drugs']"
Food Poisoning,"['Oral rehydration salts (ORS)', 'Paracetamol 500mg', 'Loperamide 2mg (use with caution)', 'Metronidazole 400mg', 'Probiotics']","['ORS', 'Paracetamol 500mg', 'Loperamide 2mg (use with caution)', 'Metronidazole 400mg', 'Probiotics']","['ORS', 'Paracetamol (weight adjusted)', 'Metronidazole (dose adjusted)', 'Probiotics']","['ORS', 'Paracetamol 500mg', 'Metronidazole 400mg']","['ORS', 'Paracetamol 500mg', 'Metronidazole 400mg']","['ORS', 'Paracetamol 500mg', 'Metronidazole 400mg']","['ORS', 'Dose adjustment for Metronidazole', 'Avoid nephrotoxic drugs']"
Meningitis,"['Ceftriaxone 2g IV twice daily', 'Vancomycin 15-20mg/kg IV every 8-12 hrs', 'Dexamethasone 10mg IV', 'Paracetamol 500mg', 'Supportive care']","['Ceftriaxone 2g IV twice daily', 'Vancomycin 15-20mg/kg IV every 8-12 hrs', 'Dexamethasone 10mg IV', 'Paracetamol 500mg', 'Supportive care']","['Ceftriaxone (dose adjusted)', 'Vancomycin (dose adjusted)', 'Dexamethasone (dose adjusted)', 'Paracetamol (weight adjusted)']","['Ceftriaxone 2g IV twice daily', 'Vancomycin 15-20mg/kg IV every 8-12 hrs']","['Ceftriaxone 2g IV twice daily', 'Vancomycin 15-20mg/kg IV every 8-12 hrs']","['Ceftriaxone 2g IV twice daily', 'Vancomycin 15-20mg/kg IV every 8-12 hrs']","['Dose adjustment for Vancomycin and Ceftriaxone', 'Monitor renal function']"
Tonsillitis,"['Paracetamol 500mg', 'Amoxicillin 500mg', 'Ibuprofen 400mg', 'Salt water gargles', 'Rest']","['Paracetamol 500mg', 'Amoxicillin 500mg', 'Ibuprofen 400mg', 'Salt water gargles', 'Rest']","['Paracetamol (weight adjusted)', 'Amoxicillin (dose adjusted)', 'Ibuprofen (dose adjusted)', 'Salt water gargles', 'Rest']","['Paracetamol 500mg', 'Amoxicillin 500mg']","['Paracetamol 500mg', 'Amoxicillin 500mg']","['Paracetamol 500mg', 'Amoxicillin 500mg']","['Dose adjusted Amoxicillin', 'Avoid nephrotoxic drugs']"
Depression,"['Selective Serotonin Reuptake Inhibitors (SSRIs) like Sertraline 50mg', 'SNRIs like Venlafaxine 37.5mg', 'Tricyclic Antidepressants (Amitriptyline 25mg)', 'Psychotherapy', 'Lifestyle modification']","['SSRIs (Sertraline 50mg)', 'SNRIs (Venlafaxine 37.5mg)', 'Amitriptyline 25mg', 'Psychotherapy', 'Lifestyle modification']","['SSRIs (dose adjusted)', 'Psychotherapy', 'Lifestyle modification']","['SSRIs (Sertraline 50mg)', 'SNRIs (Venlafaxine 37.5mg)']","['SSRIs (Sertraline 50mg)', 'SNRIs (Venlafaxine 37.5mg)']","['SSRIs (Sertraline 50mg)', 'SNRIs (Venlafaxine 37.5mg)']","['Dose adjusted SSRIs, avoid nephrotoxic drugs']"
Bronchitis,"['Salbutamol Inhaler (100 mcg)', 'Dextromethorphan Syrup 10mg', 'Paracetamol 500mg', 'Amoxicillin 500mg', 'Steam inhalation']","['Salbutamol Inhaler 100 mcg', 'Dextromethorphan 10mg', 'Paracetamol 500mg', 'Amoxicillin 500mg', 'Steam inhalation']","['Salbutamol Inhaler (dose adjusted)', 'Dextromethorphan (dose adjusted)', 'Paracetamol (weight adjusted)', 'Amoxicillin (dose adjusted)', 'Steam inhalation']","['Salbutamol Inhaler 100 mcg', 'Paracetamol 500mg']","['Salbutamol Inhaler 100 mcg', 'Paracetamol 500mg']","['Salbutamol Inhaler 100 mcg', 'Paracetamol 500mg']","['Dose adjusted Amoxicillin', 'Avoid nephrotoxic drugs']"
Sinusitis,"['Amoxicillin-Clavulanate 875/125 mg', 'Nasal saline spray', 'Paracetamol 500mg', 'Ibuprofen 400mg', 'Decongestants (short term)']","['Amoxicillin-Clavulanate 875/125 mg', 'Nasal saline spray', 'Paracetamol 500mg', 'Ibuprofen 400mg', 'Decongestants (short term)']","['Amoxicillin-Clavulanate (dose adjusted)', 'Nasal saline spray', 'Paracetamol (weight adjusted)', 'Ibuprofen (dose adjusted)', 'Decongestants (short term)']","['Amoxicillin-Clavulanate 875/125 mg', 'Paracetamol 500mg']","['Amoxicillin-Clavulanate 875/125 mg', 'Paracetamol 500mg']","['Amoxicillin-Clavulanate 875/125 mg', 'Paracetamol 500mg']","['Dose adjusted Amoxicillin-Clavulanate', 'Avoid nephrotoxic drugs']"
Anemia,"['Ferrous sulfate 325mg', 'Folic acid 5mg', 'Vitamin B12 1000mcg', 'Iron-rich diet', 'Paracetamol 500mg']","['Ferrous sulfate 325mg', 'Folic acid 5mg', 'Vitamin B12 1000mcg', 'Iron-rich diet', 'Paracetamol 500mg']","['Ferrous sulfate (dose adjusted)', 'Folic acid 5mg', 'Vitamin B12 (dose adjusted)', 'Iron-rich diet', 'Paracetamol (weight adjusted)']","['Ferrous sulfate 325mg', 'Folic acid 5mg', 'Vitamin B12 1000mcg']","['Ferrous sulfate 325mg', 'Folic acid 5mg', 'Vitamin B12 1000mcg']","['Ferrous sulfate 325mg', 'Folic acid 5mg', 'Vitamin B12 1000mcg']","['Dose adjusted Ferrous sulfate', 'Avoid nephrotoxic drugs']"
COVID-19,"['Paracetamol 500mg', 'Dexamethasone 6mg', 'Remdesivir (if hospitalized)', 'Oxygen therapy', 'Supportive care']","['Paracetamol 500mg', 'Dexamethasone 6mg', 'Remdesivir (if hospitalized)', 'Oxygen therapy', 'Supportive care']","['Paracetamol (weight adjusted)', 'Dexamethasone (dose adjusted)', 'Supportive care']","['Paracetamol 500mg', 'Dexamethasone 6mg', 'Remdesivir (use with caution)']","['Paracetamol 500mg', 'Dexamethasone 6mg', 'Remdesivir (use with caution)']","['Paracetamol 500mg', 'Dexamethasone 6mg', 'Remdesivir (use with caution)']","['Dose adjustment for Remdesivir', 'Monitor renal function']"
Appendicitis,"['Ceftriaxone 1-2g IV daily', 'Metronidazole 500mg IV/Oral', 'Paracetamol 500mg', 'Surgical intervention', 'IV fluids']","['Ceftriaxone 1-2g IV daily', 'Metronidazole 500mg IV/Oral', 'Paracetamol 500mg', 'Surgical intervention', 'IV fluids']","['Ceftriaxone (dose adjusted)', 'Metronidazole (dose adjusted)', 'Paracetamol (weight adjusted)', 'Surgical intervention', 'IV fluids']","['Ceftriaxone 1-2g IV daily', 'Metronidazole 500mg IV/Oral']","['Ceftriaxone 1-2g IV daily', 'Metronidazole 500mg IV/Oral']","['Ceftriaxone 1-2g IV daily', 'Metronidazole 500mg IV/Oral']","['Dose adjustment for Ceftriaxone and Metronidazole', 'Monitor renal function']"
